timestamp,token_id,best_bid,best_ask,spread,spread_pct,bid_depth,ask_depth,sanity_ok
2026-03-03T00:04:21.572673+00:00,UP:65670593,0.39,0.4,0.010000000000000009,2.500000000000002,39,60,True,69448.9
2026-03-03T00:04:21.667284+00:00,DOWN:46991409,0.6,0.61,0.010000000000000009,1.6393442622950833,60,39,True,69448.9
2026-03-03T00:20:38.973837+00:00,UP:65670593,0.34,0.35,0.009999999999999953,2.857142857142844,34,65,True,69448.9
2026-03-03T00:20:39.089454+00:00,DOWN:46991409,0.65,0.66,0.010000000000000009,1.5151515151515165,65,34,True,69448.9
2026-03-03T00:36:46.017362+00:00,UP:65670593,0.39,0.4,0.010000000000000009,2.500000000000002,39,60,True,69448.9
2026-03-03T00:36:46.106620+00:00,DOWN:46991409,0.6,0.61,0.010000000000000009,1.6393442622950833,60,39,True,69448.9
2026-03-03T00:53:07.768315+00:00,UP:65670593,0.37,0.38,0.010000000000000009,2.6315789473684235,37,62,True,69448.9
2026-03-03T00:53:07.858675+00:00,DOWN:46991409,0.62,0.63,0.010000000000000009,1.5873015873015885,62,37,True,69448.9
2026-03-03T01:10:04.092975+00:00,UP:65670593,0.4,0.41,0.009999999999999953,2.4390243902438913,40,59,True,69448.9
2026-03-03T01:10:04.185991+00:00,DOWN:46991409,0.59,0.6,0.010000000000000009,1.6666666666666683,59,40,True,69448.9
2026-03-03T01:26:06.814237+00:00,UP:65670593,0.38,0.39,0.010000000000000009,2.5641025641025665,38,61,True,69448.9
2026-03-03T01:26:06.920131+00:00,DOWN:46991409,0.62,0.63,0.010000000000000009,1.5873015873015885,62,37,True,69448.9
2026-03-03T01:42:30.735885+00:00,UP:65670593,0.38,0.39,0.010000000000000009,2.5641025641025665,38,61,True,69448.9
2026-03-03T01:42:30.846740+00:00,DOWN:46991409,0.61,0.62,0.010000000000000009,1.6129032258064528,61,38,True,69448.9
2026-03-03T01:58:55.346374+00:00,UP:65670593,0.35,0.36,0.010000000000000009,2.7777777777777803,35,64,True,69448.9
